intent,utterance
SearchImagesWithTextOnEngineWithWidthAndWithHeight,images from google matching wallpaper free fire with size 800 x 600
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from bing matching earl sweatshirt larger than 800
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from bing matching trippy drawings larger than 800 x 600
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from bing matching 2020 quotes smaller than 800
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from bing matching cats smaller than 800 x 600
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from bing matching slope formula taller than 800
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from bing matching qr code taller than 800 x 600
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from bing matching kd shoes wider than 800
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from bing matching 50 shades of grey wider than 800 x 600
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from duckduckgo matching cute drawings larger than 800
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from duckduckgo matching running meme larger than 800 x 600
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from duckduckgo matching pizza hut menu smaller than 800
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from duckduckgo matching munchkin cat smaller than 800 x 600
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from duckduckgo matching joker wallpaper taller than 800
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from duckduckgo matching fluttershy taller than 800 x 600
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from duckduckgo matching multiplication chart wider than 800
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from duckduckgo matching nikki bella wider than 800 x 600
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from google matching love quotes for him larger than 800
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from google matching nike free run larger than 800 x 600
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from google matching burito hat smaller than 800
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from google matching old songs smaller than 800 x 600
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from google matching random drawing generator taller than 800
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from google matching black hole image taller than 800 x 600
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from google matching nebulae wider than 800
SearchImagesWithTextOnEngineWithWidthAndWithHeightAndWithCondition,images from google matching gordon ramsay wider than 800 x 600
SearchText,pages matching progress book
SearchText,web sites matching skype-a-thon
SearchText,websites matching jamf eau claire wi
SearchTextOnEngine,mla on bing
SearchTextOnEngine,cargo on duckduckgo
SearchTextOnEngine,hair on google
SearchTextOnEngine,google google docs
ChangeLanguageToLanguage,change language of this article to arabic
ChangeLanguageToLanguage,change language of this article to chinese
ChangeLanguageToLanguage,change language of this article to english
ChangeLanguageToLanguage,change language of this article to french
ChangeLanguageToLanguage,change language of this article to german
ChangeLanguageToLanguage,change language of this article to italian
ChangeLanguageToLanguage,change language of this article to polish
ChangeLanguageToLanguage,change language of this article to portuguese
ChangeLanguageToLanguage,change language of this article to russian
ChangeLanguageToLanguage,change language of this article to spanish
ChangeLanguageToLanguage,change language of this article to ukrainian
ChangeLanguageToLanguage,change language of this page to arabic
ChangeLanguageToLanguage,change language of this page to chinese
ChangeLanguageToLanguage,change language of this page to english
ChangeLanguageToLanguage,change language of this page to french
ChangeLanguageToLanguage,change language of this page to german
ChangeLanguageToLanguage,change language of this page to italian
ChangeLanguageToLanguage,change language of this page to polish
ChangeLanguageToLanguage,change language of this page to portuguese
ChangeLanguageToLanguage,change language of this page to russian
ChangeLanguageToLanguage,change language of this page to spanish
ChangeLanguageToLanguage,change language of this page to ukrainian
ChangeLanguageToLanguage,change language to arabic
ChangeLanguageToLanguage,change language to chinese
ChangeLanguageToLanguage,change language to english
ChangeLanguageToLanguage,change language to french
ChangeLanguageToLanguage,change language to german
ChangeLanguageToLanguage,change language to italian
ChangeLanguageToLanguage,change language to polish
ChangeLanguageToLanguage,change language to portuguese
ChangeLanguageToLanguage,change language to russian
ChangeLanguageToLanguage,change language to spanish
ChangeLanguageToLanguage,change language to ukrainian
ChangeLanguageToLanguage,show this article in arabic
ChangeLanguageToLanguage,show this article in chinese
ChangeLanguageToLanguage,show this article in english
ChangeLanguageToLanguage,show this article in french
ChangeLanguageToLanguage,show this article in german
ChangeLanguageToLanguage,show this article in italian
ChangeLanguageToLanguage,show this article in polish
ChangeLanguageToLanguage,show this article in portuguese
ChangeLanguageToLanguage,show this article in russian
ChangeLanguageToLanguage,show this article in spanish
ChangeLanguageToLanguage,show this article in ukrainian
ChangeLanguageToLanguage,show this page in arabic
ChangeLanguageToLanguage,show this page in chinese
ChangeLanguageToLanguage,show this page in english
ChangeLanguageToLanguage,show this page in french
ChangeLanguageToLanguage,show this page in german
ChangeLanguageToLanguage,show this page in italian
ChangeLanguageToLanguage,show this page in polish
ChangeLanguageToLanguage,show this page in portuguese
ChangeLanguageToLanguage,show this page in russian
ChangeLanguageToLanguage,show this page in spanish
ChangeLanguageToLanguage,show this page in ukrainian
DownloadAsPdf,download article as pdf
DownloadAsPdf,download page as pdf
DownloadAsPdf,download that article as pdf
DownloadAsPdf,download that page as pdf
DownloadAsPdf,download this article as pdf
DownloadAsPdf,download this page as pdf
GoToElementNumber,go to tenth element from contents
GoToElementNumber,go to tenth element in contents
GoToElementNumber,go to tenth item from contents
GoToElementNumber,go to tenth item in contents
GoToElementNumber,go to third element from contents
GoToElementNumber,go to third element in contents
GoToElementNumber,go to third item from contents
GoToElementNumber,go to third item in contents
OpenWikipedia,open wikipedia
OpenWikipedia,open wikipedia definition
OpenWikipedia,open wikipedia pages
RandomPage,random article
RandomPage,random page
RandomPage,show random article
RandomPage,show random page
RandomPage,surf
RandomPage,surfing
RandomPage,wiki surf
RandomPage,wiki surfing
RandomPage,wikipedia surf
RandomPage,wikipedia surfing
ScrollDown,page down
ScrollDown,scroll down
ScrollUp,page up
ScrollUp,scroll up
SearchQuery,statue of zeus at olympia in wiki
SearchQuery,rms titanic in wikipedia
SearchQuery,led zeppelin iv matching in wiki
SearchQuery,gillette stadium matching in wikipedia
SearchQuery,find mariah carey on wiki
SearchQuery,find los angeles international airport on wikipedia
SearchQuery,search berlin wall on wiki
SearchQuery,search mark wahlberg on wikipedia
OpenRestaurants,open restaurants nearby
OpenRestaurants,restaurants open now
OpenRestaurants,restaurants still open around here
OpenRestaurantsInLocation,open restaurants near kreuzberg
OpenRestaurantsInLocation,restaurants open now at soho
OpenRestaurantsInLocation,restaurants still open around manhattan
SearchByCategory,thai food
SearchByCategory,japanease food around here
SearchByCategory,american food nearby
SearchByCategory,italian restaurants
SearchByCategory,french restaurants around here
SearchByCategory,thai restaurants nearby
SearchByCategoryInLocation,japanease food around plaza del sol
SearchByCategoryInLocation,american food near la rambla
SearchByCategoryInLocation,italian restaurants around van horne
SearchByCategoryInLocation,french restaurants near westmont
SearchByQuery,coffee shop around
SearchByQuery,downtown redmond parking garage nearby
SearchByQuery,best craft brews and local eateries on yelp
SearchByQueryInLocation,perkins restruant around grass lake
SearchByQueryInLocation,lorain county sushi around auburn hills on yelp
SearchByQueryInLocation,canton ri brewery restaurant at terreton
SearchByQueryInLocation,best restaurants with a view toronto at cecil on yelp
SearchByQueryInLocation,vancouver steakhouse meat entrees in fittstown
SearchByQueryInLocation,best coffee shops portland or in allakaket on yelp
SearchByQueryInLocation,german food near monticello
SearchByQueryInLocation,pizza near cornell on yelp
SearchByRating,4 star restaurants
SearchByRating,5 star restaurants on yelp
SearchByRating,restaurants nearby with at least 4 star rating
SearchByRating,restaurants rated higher than 5 star
SearchByRatingInLocation,4 star restaurants around mayport
SearchByRatingInLocation,5 star restaurants around lordsburg on yelp
SearchByRatingInLocation,4 star restaurants in ravenden springs
SearchByRatingInLocation,5 star restaurants in hanlontown on yelp
SearchByRatingInLocation,restaurants nearby with at least 4 star rating near cid
SearchByRatingInLocation,restaurants rated higher than 5 star in moccasin
SearchByReviewCount,restaurants here reviewed by at least 100 people
SearchByReviewCount,restaurants here reviewed by at least 1000 users
SearchByReviewCount,restaurants here reviewed by more than 10000 people
SearchByReviewCount,restaurants here reviewed by more than 100 users
SearchByReviewCount,restaurants nearby reviewed by at least 1000 people
SearchByReviewCount,restaurants nearby reviewed by at least 10000 users
SearchByReviewCount,restaurants nearby reviewed by more than 100 people
SearchByReviewCount,restaurants nearby reviewed by more than 1000 users
SearchByReviewCountInLocation,restaurants around momence reviewed by at least 10000 people
SearchByReviewCountInLocation,restaurants around ralls reviewed by more than 100 people
SearchByReviewCountInLocation,restaurants near kaneohe reviewed by at least 1000 people
SearchByReviewCountInLocation,restaurants near east thetford reviewed by more than 10000 people
SearchInLocation,restaurants around diggins
SearchInLocation,restaurants near wildwood
SearchInLocation,restaurants next to pompey
SearchRestaurant,closest restaurant around
SearchRestaurant,closest restaurant nearby
SearchRestaurant,find restaurant
SearchRestaurant,find restaurant around here
SearchRestaurant,find restaurant nearby
SearchRestaurant,find restaurant on yelp
SearchRestaurant,find restaurants
SearchRestaurant,find restaurants around here
SearchRestaurant,find restaurants nearby
SearchRestaurant,find restaurants on yelp
SearchRestaurant,nearest restaurant around
SearchRestaurant,restaurant
SearchRestaurant,restaurant around here
SearchRestaurant,restaurant nearby
SearchRestaurant,restaurant on yelp
SearchRestaurant,restaurants
SearchRestaurant,restaurants around here
SearchRestaurant,restaurants nearby
SearchRestaurant,restaurants on yelp
SearchRestaurant,search restaurant
SearchRestaurant,search restaurant around here
SearchRestaurant,search restaurant nearby
SearchRestaurant,search restaurant on yelp
SearchRestaurant,search restaurants
SearchRestaurant,search restaurants around here
SearchRestaurant,search restaurants nearby
SearchRestaurant,search restaurants on yelp
FindChannelWithQuery,find jacksepticeye channels on youtube
FindChannelWithQuery,find channels matching cats sneezing in boxes on youtube
FindChannelWithQuery,find youtube channel play bone thugz n harmony
FindChannelWithQuery,look for make a paper airplane channels on youtube
FindChannelWithQuery,look for channels matching yoga class videos on youtube
FindChannelWithQuery,look for youtube channel bruno mars
FindChannelWithQuery,search for norris nuts channels on youtube
FindChannelWithQuery,search for channels matching shimmer and shine on youtube
FindChannelWithQuery,search for youtube channel michael jackson
FindQuery,find jon snow video on youtube
FindQuery,find a video matching dragon ball fight on youtube
FindQuery,find youtube video playlist hits 2017
FindQuery,look for stretching routine video on youtube
FindQuery,look for a video matching ozuna on youtube
FindQuery,look for youtube video china crowded pics
FindQuery,play how to make jolluf rice video on youtube
FindQuery,play a video matching fiesta brake pad change diy on youtube
FindQuery,play youtube video pink
FindQuery,search for ed sheeran new song video on youtube
FindQuery,search for a video matching monster hunter world game play on youtube
FindQuery,search for youtube video conan best moments
FindQueryOnChannel,show a video from pewdiepie matching billie eilish on youtube
FindQueryOnChannel,show a video published by theneedledrop matching magic school bus on youtube
FindQueryOnChannel,show a videos from justin bieber matching black sabboth 13 full album on youtube
FindQueryOnChannel,show a videos published by team coco matching how to disassemble a fan on youtube
FindQueryOnChannel,show me a video from cineamasin matching queen on youtube
FindQueryOnChannel,show me a video published by dandmt matching heavy metal 2017 top hits on youtube
FindQueryOnChannel,show me a videos from niki and gabi matching katy perry on youtube
FindQueryOnChannel,show me a videos published by wwe matching 1995 jeep radio repair videos on youtube
NotifyOnNewFromFollowing,notify me when there is a new video from youtube channels I follow
NotifyonNewOnChannel,notify me when unbox therapy posts a new youtube video
NotifyonNewOnChannel,notify me when gordon ramsay uploads a video on youtube
NotifyonNewOnChannel,notify me when there is a new video from youtube channel pewdiepie
OpenYT,open youtube
OpenYT,open yt
ShowChannelWithCategory,display news and politics channels in youtube
ShowChannelWithCategory,display cooking and health youtube channels
ShowChannelWithCategory,display channels in category tech on youtube
ShowChannelWithCategory,display youtube 's sports channels
ShowChannelWithCategory,display youtube channels with category beauty and fashion
ShowChannelWithCategory,play gaming channels in youtube
ShowChannelWithCategory,play comedy youtube channels
ShowChannelWithCategory,play channels in category music on youtube
ShowChannelWithCategory,play youtube 's news and politics channels
ShowChannelWithCategory,play youtube channels with category cooking and health
ShowChannelWithCategory,show tech channels in youtube
ShowChannelWithCategory,show sports youtube channels
ShowChannelWithCategory,show channels in category beauty and fashion on youtube
ShowChannelWithCategory,show youtube 's gaming channels
ShowChannelWithCategory,show youtube channels with category comedy
ShowChannelWithName,play channel theneedledrop in youtube
ShowChannelWithName,play youtube channel justin bieber
ShowChannelWithName,play youtube videos in team coco
ShowChannelWithName,show channel cineamasin in youtube
ShowChannelWithName,show youtube channel dandmt
ShowChannelWithName,show youtube videos in niki and gabi
ShowFollowing,show channels I follow on youtube
ShowFollowing,show me channels I follow on youtube
ShowFollowing,show me youtube channels i follow
ShowFollowing,show youtube channels i follow
ShowSubscribedChannels,show channels I am subscribed to on youtube
ShowSubscribedChannels,show me channels I am subscribed to on youtube
Greeting,Hi
Greeting,Hi there
Greeting,Hola
Greeting,Hello
Greeting,Hello there
Greeting,Hya
Greeting,Hya there
GreetingResponse,My user is Adam
GreetingResponse,This is Adam
GreetingResponse,I am Adam
GreetingResponse,It is Adam
GreetingResponse,My user is Bella
GreetingResponse,This is Bella
GreetingResponse,I am Bella
GreetingResponse,It is Bella
CourtesyGreeting,How are you?
CourtesyGreeting,Hi how are you?
CourtesyGreeting,Hello how are you?
CourtesyGreeting,Hola how are you?
CourtesyGreeting,How are you doing?
CourtesyGreeting,Hope you are doing well?
CourtesyGreeting,Hello hope you are doing well?
CourtesyGreetingResponse,Good thanks! My user is Adam
CourtesyGreetingResponse,Good thanks! This is Adam
CourtesyGreetingResponse,Good thanks! I am Adam
CourtesyGreetingResponse,Good thanks! It is Adam
CourtesyGreetingResponse,Great thanks! My user is Bella
CourtesyGreetingResponse,Great thanks! This is Bella
CourtesyGreetingResponse,Great thanks! I am Bella
CourtesyGreetingResponse,Great thanks! It is Bella
CurrentHumanQuery,What is my name?
CurrentHumanQuery,What do you call me?
CurrentHumanQuery,Who do you think I am?
CurrentHumanQuery,What do you think I am?
CurrentHumanQuery,Who are you talking to?
CurrentHumanQuery,What name do you call me by?
CurrentHumanQuery,Tell me my name
NameQuery,What is your name?
NameQuery,What could I call you?
NameQuery,What can I call you?
NameQuery,What do your friends call you?
NameQuery,Who are you?
NameQuery,Tell me your name?
RealNameQuery,What is your real name?
RealNameQuery,What is your real name please?
RealNameQuery,What's your real name?
RealNameQuery,Tell me your real name?
RealNameQuery,Your real name?
RealNameQuery,Your real name please?
RealNameQuery,Your real name please?
TimeQuery,What is the time?
TimeQuery,What's the time?
TimeQuery,Do you know what time it is?
TimeQuery,Do you know the time?
TimeQuery,Can you tell me the time?
TimeQuery,Tell me what time it is?
TimeQuery,Time
Thanks,OK thank you
Thanks,OK thanks
Thanks,OK
Thanks,Thanks
Thanks,Thank you
Thanks,That's helpful
NotTalking2U,I am not talking to you
NotTalking2U,I was not talking to you
NotTalking2U,Not talking to you
NotTalking2U,Wasn't for you
NotTalking2U,Wasn't meant for you
NotTalking2U,Wasn't communicating to you
NotTalking2U,Wasn't speaking to you
UnderstandQuery,Do you understand what I am saying
UnderstandQuery,Do you understand me
UnderstandQuery,Do you know what I am saying
UnderstandQuery,Do you get me
UnderstandQuery,Comprendo
UnderstandQuery,Know what I mean
Shutup,Be quiet
Shutup,Shut up
Shutup,Stop talking
Shutup,Enough talking
Shutup,Please be quiet
Shutup,Quiet
Shutup,Shhh
Swearing,fuck off
Swearing,fuck
Swearing,twat
Swearing,shit
GoodBye,Bye
GoodBye,Adios
GoodBye,See you later
GoodBye,Goodbye
CourtesyGoodBye,"Thanks, bye"
CourtesyGoodBye,"Thanks for the help, goodbye"
CourtesyGoodBye,"Thank you, bye"
CourtesyGoodBye,"Thank you, goodbye"
CourtesyGoodBye,Thanks goodbye
CourtesyGoodBye,Thanks good bye
WhoAmI,Can you see me?
WhoAmI,Do you see me?
WhoAmI,Can you see anyone in the camera?
WhoAmI,Do you see anyone in the camera?
WhoAmI,Identify me
WhoAmI,Who am I please
Clever,You are very clever
Clever,You are a very clever girl
Clever,You are very intelligent
Clever,You are a very intelligent girl
Clever,You are a genious
Clever,Clever girl
Clever,Genious
Gossip,I am bored gossip with me
Gossip,Got any gossip
Gossip,I want to hear some gossip
Gossip,Tell me some gossip
Gossip,Any gossip
Gossip,Tell me some more gossip
Jokes,Tell me a joke
Jokes,Do you know any jokes
Jokes,How about a joke
Jokes,Give me a joke
Jokes,Make me laugh
Jokes,I need cheering up
PodBayDoor,Open the pod bay door
PodBayDoor,Can you open the pod bay door
PodBayDoor,Will you open the pod bay door
PodBayDoor,Open the pod bay door please
PodBayDoor,Can you open the pod bay door please
PodBayDoor,Will you open the pod bay door please
PodBayDoor,Pod bay door
PodBayDoorResponse,Why
PodBayDoorResponse,Why not
PodBayDoorResponse,Why can you not open the pod bay door
PodBayDoorResponse,Why will you not open the pod bay door
PodBayDoorResponse,Well why not
PodBayDoorResponse,Surely you can
PodBayDoorResponse,Tell me why
SelfAware,Can you prove you are self-aware
SelfAware,Can you prove you are self aware
SelfAware,Can you prove you have a conscious
SelfAware,Can you prove you are self-aware please
SelfAware,Can you prove you are self aware please
SelfAware,Can you prove you have a conscious please
SelfAware,prove you have a conscious
Greeting,Hi
Greeting,Hi there
Greeting,Hola
Greeting,Hello
Greeting,Hello there
Greeting,Hya
Greeting,Hya there
GreetingResponse,My user is Adam
GreetingResponse,This is Adam
GreetingResponse,I am Adam
GreetingResponse,It is Adam
GreetingResponse,My user is Bella
GreetingResponse,This is Bella
GreetingResponse,I am Bella
GreetingResponse,It is Bella
CourtesyGreeting,How are you?
CourtesyGreeting,Hi how are you?
CourtesyGreeting,Hello how are you?
CourtesyGreeting,Hola how are you?
CourtesyGreeting,How are you doing?
CourtesyGreeting,Hope you are doing well?
CourtesyGreeting,Hello hope you are doing well?
CourtesyGreetingResponse,Good thanks! My user is Adam
CourtesyGreetingResponse,Good thanks! This is Adam
CourtesyGreetingResponse,Good thanks! I am Adam
CourtesyGreetingResponse,Good thanks! It is Adam
CourtesyGreetingResponse,Great thanks! My user is Bella
CourtesyGreetingResponse,Great thanks! This is Bella
CourtesyGreetingResponse,Great thanks! I am Bella
CourtesyGreetingResponse,Great thanks! It is Bella
CurrentHumanQuery,What is my name?
CurrentHumanQuery,What do you call me?
CurrentHumanQuery,Who do you think I am?
CurrentHumanQuery,What do you think I am?
CurrentHumanQuery,Who are you talking to?
CurrentHumanQuery,What name do you call me by?
CurrentHumanQuery,Tell me my name
NameQuery,What is your name?
NameQuery,What could I call you?
NameQuery,What can I call you?
NameQuery,What do your friends call you?
NameQuery,Who are you?
NameQuery,Tell me your name?
RealNameQuery,What is your real name?
RealNameQuery,What is your real name please?
RealNameQuery,What's your real name?
RealNameQuery,Tell me your real name?
RealNameQuery,Your real name?
RealNameQuery,Your real name please?
RealNameQuery,Your real name please?
TimeQuery,What is the time?
TimeQuery,What's the time?
TimeQuery,Do you know what time it is?
TimeQuery,Do you know the time?
TimeQuery,Can you tell me the time?
TimeQuery,Tell me what time it is?
TimeQuery,Time
Thanks,OK thank you
Thanks,OK thanks
Thanks,OK
Thanks,Thanks
Thanks,Thank you
Thanks,That's helpful
NotTalking2U,I am not talking to you
NotTalking2U,I was not talking to you
NotTalking2U,Not talking to you
NotTalking2U,Wasn't for you
NotTalking2U,Wasn't meant for you
NotTalking2U,Wasn't communicating to you
NotTalking2U,Wasn't speaking to you
UnderstandQuery,Do you understand what I am saying
UnderstandQuery,Do you understand me
UnderstandQuery,Do you know what I am saying
UnderstandQuery,Do you get me
UnderstandQuery,Comprendo
UnderstandQuery,Know what I mean
Shutup,Be quiet
Shutup,Shut up
Shutup,Stop talking
Shutup,Enough talking
Shutup,Please be quiet
Shutup,Quiet
Shutup,Shhh
Swearing,fuck off
Swearing,fuck
Swearing,twat
Swearing,shit
GoodBye,Bye
GoodBye,Adios
GoodBye,See you later
GoodBye,Goodbye
CourtesyGoodBye,"Thanks, bye"
CourtesyGoodBye,"Thanks for the help, goodbye"
CourtesyGoodBye,"Thank you, bye"
CourtesyGoodBye,"Thank you, goodbye"
CourtesyGoodBye,Thanks goodbye
CourtesyGoodBye,Thanks good bye
WhoAmI,Can you see me?
WhoAmI,Do you see me?
WhoAmI,Can you see anyone in the camera?
WhoAmI,Do you see anyone in the camera?
WhoAmI,Identify me
WhoAmI,Who am I please
Clever,You are very clever
Clever,You are a very clever girl
Clever,You are very intelligent
Clever,You are a very intelligent girl
Clever,You are a genious
Clever,Clever girl
Clever,Genious
Gossip,I am bored gossip with me
Gossip,Got any gossip
Gossip,I want to hear some gossip
Gossip,Tell me some gossip
Gossip,Any gossip
Gossip,Tell me some more gossip
Jokes,Tell me a joke
Jokes,Do you know any jokes
Jokes,How about a joke
Jokes,Give me a joke
Jokes,Make me laugh
Jokes,I need cheering up
PodBayDoor,Open the pod bay door
PodBayDoor,Can you open the pod bay door
PodBayDoor,Will you open the pod bay door
PodBayDoor,Open the pod bay door please
PodBayDoor,Can you open the pod bay door please
PodBayDoor,Will you open the pod bay door please
PodBayDoor,Pod bay door
PodBayDoorResponse,Why
PodBayDoorResponse,Why not
PodBayDoorResponse,Why can you not open the pod bay door
PodBayDoorResponse,Why will you not open the pod bay door
PodBayDoorResponse,Well why not
PodBayDoorResponse,Surely you can
PodBayDoorResponse,Tell me why
SelfAware,Can you prove you are self-aware
SelfAware,Can you prove you are self aware
SelfAware,Can you prove you have a conscious
SelfAware,Can you prove you are self-aware please
SelfAware,Can you prove you are self aware please
SelfAware,Can you prove you have a conscious please
SelfAware,prove you have a conscious
